reach_id,region,original_facc,corrected_facc,delta,delta_pct,n_rch_up,correction_type
23212000025,EU,16319.8517,17310.1987,990.347,6.07,2,junction_floor
24460000183,EU,27940.8528,28096.266,155.4132,0.56,2,junction_floor
24480300013,EU,48054.3281,89363.7891,41309.4609,85.96,2,junction_floor
24480500033,EU,44681.8945,64926.1172,20244.2227,45.31,2,junction_floor
25258000173,EU,23514.0633,25151.7515,1637.6882,6.96,2,junction_floor
28313000173,EU,1340388.5644,1340965.8489,577.2845,0.04,2,junction_floor
23269000391,EU,2541.0346,3191.8827,650.8481,25.61,2,junction_floor
28311700061,EU,1381916.0378,1457995.8065,76079.7687,5.51,2,junction_floor
21307600055,EU,6699.8644,11697.3975,4997.533,74.59,2,junction_floor
28311900021,EU,1376060.875,1446444.216,70383.341,5.11,2,junction_floor
23269000183,EU,13996.9725,22708.6162,8711.6437,62.24,2,junction_floor
25260500183,EU,28937.3968,30151.9385,1214.5417,4.2,2,junction_floor
28106500591,EU,41223.9633,50216.8786,8992.9153,21.81,2,junction_floor
24420400101,EU,8758.6931,9396.4686,637.7754,7.28,2,junction_floor
22520100031,EU,88411.3035,98872.9469,10461.6434,11.83,2,junction_floor
23267000141,EU,46137.0,91418.0,45281.0,98.14,2,junction_floor
23216000035,EU,17755.0364,23254.1455,5499.1091,30.97,2,junction_floor
22550000051,EU,184518.8666,206765.7031,22246.8365,12.06,2,junction_floor
28324500163,EU,46440.8722,47190.6309,749.7587,1.61,2,junction_floor
29147000111,EU,88024.3857,124342.2982,36317.9125,41.26,2,junction_floor
23180400823,EU,1293.4645,1437.5333,144.0688,11.14,2,junction_floor
26149300061,EU,48331.1068,89244.1758,40913.069,84.65,2,junction_floor
23263000061,EU,103106.1642,198037.7274,94931.5632,92.07,2,junction_floor
25259000233,EU,2145.9788,2192.7069,46.7281,2.18,2,junction_floor
28313000331,EU,1320708.3404,1344042.2012,23333.8608,1.77,2,junction_floor
22310000101,EU,142076.9536,167036.4338,24959.4802,17.57,2,junction_floor
22791500081,EU,187738.1643,374775.883,187037.7188,99.63,2,junction_floor
26120100065,EU,55347.8944,60759.6544,5411.7601,9.78,2,junction_floor
23270600241,EU,20588.3938,40456.3938,19868.0,96.5,2,junction_floor
21307200051,EU,6625.1362,7552.1082,926.972,13.99,2,junction_floor
24380300231,EU,3039.0732,4391.5013,1352.4281,44.5,2,junction_floor
28321000063,EU,277520.6644,419181.08,141660.4156,51.04,2,junction_floor
23221000054,EU,35129.6073,223891.9688,188762.3614,537.33,2,junction_floor
26160500121,EU,25798.897,25953.3486,154.4516,0.6,2,junction_floor
24250000041,EU,47145.9887,50975.1825,3829.1938,8.12,2,junction_floor
24260300011,EU,80935.4141,87015.3452,6079.9312,7.51,2,junction_floor
22731000011,EU,709063.125,807717.1136,98653.9886,13.91,2,junction_floor
23225000031,EU,56405.7998,112636.8125,56231.0127,99.69,2,junction_floor
23261001604,EU,3450.2802,6900.5603,3450.2801,100.0,2,junction_floor
28322600231,EU,12435.5176,24870.5488,12435.0312,100.0,2,junction_floor
23130000265,EU,2002.6208,2326.446,323.8252,16.17,2,junction_floor
23140100141,EU,83399.6595,83843.2097,443.5502,0.53,2,junction_floor
23240400161,EU,13019.9312,13335.6018,315.6706,2.42,2,junction_floor
25210400011,EU,6846.882,7604.5578,757.6757,11.07,2,junction_floor
28361000063,EU,141221.0334,233419.7138,92198.6804,65.29,2,junction_floor
28367100213,EU,66640.5471,68935.3426,2294.7955,3.44,2,junction_floor
22350200043,EU,2841.4903,2887.7753,46.285,1.63,2,junction_floor
28299000795,EU,31828.4865,31854.4533,25.9668,0.08,2,junction_floor
28299000265,EU,93965.3121,93999.0395,33.7274,0.04,2,junction_floor
25251400063,EU,12578.2362,17014.924,4436.6878,35.27,2,junction_floor
25251800081,EU,4090.7708,4991.5928,900.822,22.02,2,junction_floor
22541000021,EU,117105.9957,127730.8135,10624.8178,9.07,2,junction_floor
23283000061,EU,97020.3253,103732.1449,6711.8196,6.92,2,junction_floor
26120900153,EU,3307.9368,3945.5625,637.6257,19.28,2,junction_floor
22797000031,EU,102827.8727,204753.8727,101926.0,99.12,2,junction_floor
23267000311,EU,39358.0,77304.0,37946.0,96.41,2,junction_floor
22798000151,EU,15712.0948,31303.127,15591.0322,99.23,2,junction_floor
24328100023,EU,17123.9224,17515.512,391.5896,2.29,2,junction_floor
28311900111,EU,1366410.507,1552765.2812,186354.7742,13.64,2,junction_floor
22767000071,EU,49387.7271,57757.3311,8369.6039,16.95,2,junction_floor
28380200081,EU,16812.4609,19590.9393,2778.4784,16.53,2,junction_floor
28394000031,EU,7280.0433,8603.2285,1323.1852,18.18,2,junction_floor
23270100045,EU,338.6267,577.1426,238.5159,70.44,2,junction_floor
23160300163,EU,58134.9194,59165.5969,1030.6775,1.77,2,junction_floor
24440400163,EU,4032.4189,6239.7517,2207.3328,54.74,2,junction_floor
23180100243,EU,87724.5189,156633.4375,68908.9186,78.55,2,junction_floor
22602700071,EU,23095.2457,41594.2266,18498.9809,80.1,2,junction_floor
28315000251,EU,1271379.625,1275251.8547,3872.2297,0.3,2,junction_floor
23270600161,EU,37125.7148,59221.7148,22096.0,59.52,2,junction_floor
22791100031,EU,210976.9824,235794.7081,24817.7257,11.76,2,junction_floor
23270600531,EU,13749.2897,20678.2897,6929.0,50.4,2,junction_floor
24328100013,EU,43854.8164,60848.0474,16993.231,38.75,2,junction_floor
24328100071,EU,25702.4247,34973.7852,9271.3605,36.07,2,junction_floor
28380200251,EU,9523.2408,10640.5615,1117.3207,11.73,2,junction_floor
26188900851,EU,1191.7716,1664.7134,472.9418,39.68,2,junction_floor
25260700093,EU,24037.017,37147.5638,13110.5468,54.54,2,junction_floor
23130000055,EU,1418.8257,1672.3502,253.5245,17.87,2,junction_floor
23130000025,EU,2853.6346,4137.9938,1284.3592,45.01,2,junction_floor
26189400061,EU,5416.5458,7595.2518,2178.706,40.22,2,junction_floor
24360000493,EU,1815.8347,2396.699,580.8643,31.99,2,junction_floor
23270300065,EU,390.1203,589.9848,199.8645,51.23,2,junction_floor
25280700013,EU,5865.3412,6319.5264,454.1852,7.74,2,junction_floor
23190800031,EU,3648.4925,5142.1535,1493.661,40.94,2,junction_floor
24270400025,EU,3490.7596,3861.8149,371.0553,10.63,2,junction_floor
24280100163,EU,72236.2841,80625.3613,8389.0772,11.61,2,junction_floor
28283000181,EU,113332.2684,142958.543,29626.2746,26.14,2,junction_floor
26184000011,EU,252299.0312,257195.6418,4896.6106,1.94,2,junction_floor
29471000061,EU,433152.36,443495.8468,10343.4868,2.39,2,junction_floor
28363000013,EU,203877.5214,228538.1387,24660.6173,12.1,2,junction_floor
28328200141,EU,7383.8128,10819.6709,3435.8581,46.53,2,junction_floor
26149600041,EU,9317.9879,9348.4502,30.4623,0.33,2,junction_floor
24221000025,EU,116373.127,230017.4062,113644.2793,97.66,2,junction_floor
22606300303,EU,40555.8458,40587.8115,31.9656,0.08,2,junction_floor
26160200161,EU,8814.865,12315.877,3501.0119,39.72,2,junction_floor
22190200131,EU,3596.7541,7194.1287,3597.3746,100.02,2,junction_floor
24432000181,EU,7034.5915,8537.321,1502.7295,21.36,2,junction_floor
26144500031,EU,20579.147,33466.5781,12887.4311,62.62,2,junction_floor
26190700411,EU,644.2129,911.0427,266.8298,41.42,2,junction_floor
24434000423,EU,679.8165,1013.4554,333.6389,49.08,2,junction_floor
26200100101,EU,1115.3595,1852.3522,736.9927,66.08,2,junction_floor
23286000251,EU,8399.3216,17405.3216,9006.0,107.22,2,junction_floor
22519000391,EU,357475.0467,425141.4966,67666.4499,18.93,2,junction_floor
23285000311,EU,48208.7109,87763.9833,39555.2723,82.05,2,junction_floor
24420700113,EU,5967.5487,7344.1622,1376.6135,23.07,2,junction_floor
23250800885,EU,193266.7188,386473.5435,193206.8248,99.97,2,junction_floor
24324600023,EU,17816.6575,18826.962,1010.3045,5.67,2,junction_floor
22761000011,EU,156621.375,156744.0434,122.6684,0.08,2,junction_floor
24324900023,EU,8979.1504,16463.1953,7484.0449,83.35,2,junction_floor
23261000771,EU,29683.2164,30275.93,592.7136,2.0,2,junction_floor
26146200021,EU,35289.659,35890.1245,600.4654,1.7,2,junction_floor
28464700081,EU,19982.8491,28821.8906,8839.0415,44.23,2,junction_floor
24434000633,EU,270.6981,2723.7144,2453.0163,906.18,2,junction_floor
28466000181,EU,2114.4763,2473.1863,358.7101,16.96,2,junction_floor
24438000031,EU,23972.998,48713.2608,24740.2628,103.2,2,junction_floor
21602200264,EU,9432.3666,11628.4614,2196.0948,23.28,2,junction_floor
21602300071,EU,76865.2275,153680.0,76814.7725,99.93,2,junction_floor
28440300131,EU,36502.1555,60095.5605,23593.405,64.64,2,junction_floor
28322700011,EU,58643.0977,71527.5086,12884.4109,21.97,2,junction_floor
22797000251,EU,91724.8421,175830.0938,84105.2516,91.69,2,junction_floor
22798000421,EU,8902.707,12449.6484,3546.9414,39.84,2,junction_floor
26189400021,EU,79662.9888,83979.5798,4316.591,5.42,2,junction_floor
24360000303,EU,9142.028,13389.1768,4247.1488,46.46,2,junction_floor
22511100031,EU,505838.0625,599068.9926,93230.9301,18.43,2,junction_floor
22511100015,EU,413863.7807,426563.2319,12699.4512,3.07,2,junction_floor
23270300335,EU,514.6355,1198.7956,684.1601,132.94,2,junction_floor
24370000171,EU,12657.8188,13494.4089,836.5902,6.61,2,junction_floor
22791700011,EU,180491.7955,183147.2441,2655.4486,1.47,2,junction_floor
24380100153,EU,47577.3285,50843.4093,3266.0809,6.86,2,junction_floor
22791900031,EU,171082.6663,175983.2525,4900.5863,2.86,2,junction_floor
22792000021,EU,24799.6744,36179.8936,11380.2192,45.89,2,junction_floor
24380300153,EU,27037.2204,52982.4395,25945.219,95.96,2,junction_floor
22513000113,EU,397162.854,449529.0617,52366.2077,13.19,2,junction_floor
22720300041,EU,37306.2771,38676.3789,1370.1018,3.67,2,junction_floor
22202500031,EU,35260.5923,68547.7578,33287.1656,94.4,2,junction_floor
26190800021,EU,17465.5,32685.8301,15220.3301,87.15,3,junction_floor
23160500123,EU,37314.1734,74054.9361,36740.7626,98.46,2,junction_floor
24100700035,EU,26749.4914,26815.7338,66.2424,0.25,2,junction_floor
26148000231,EU,10921.4316,19912.624,8991.1925,82.33,2,junction_floor
23170000045,EU,70984.0312,77065.2734,6081.2422,8.57,2,junction_floor
27103100451,EU,142.0648,328.4885,186.4237,131.22,2,junction_floor
24474000135,EU,11713.5586,17009.1187,5295.5601,45.21,2,junction_floor
23230500665,EU,2043.3038,2538.8377,495.5339,24.25,2,junction_floor
28330500011,EU,629952.4427,633388.5043,3436.0616,0.55,2,junction_floor
24296100063,EU,55951.1562,56146.0945,194.9382,0.35,2,junction_floor
22320300021,EU,14861.9805,40331.8477,25469.8672,171.38,2,junction_floor
23224001264,EU,7794.612,7804.3389,9.7269,0.12,2,junction_floor
29390900125,EU,374.6365,524.9256,150.2891,40.12,2,junction_floor
24244600031,EU,31186.52,52755.1992,21568.6793,69.16,2,junction_floor
22606700161,EU,12039.4143,12160.1431,120.7288,1.0,2,junction_floor
22190200081,EU,9538.4121,9742.799,204.3869,2.14,2,junction_floor
22710100085,EU,792854.125,819680.4873,26826.3623,3.38,2,junction_floor
24450400373,EU,5859.7857,6032.701,172.9153,2.95,2,junction_floor
26188800081,EU,3035.6842,3768.8979,733.2137,24.15,2,junction_floor
28311900323,EU,1358062.9773,1367115.8357,9052.8584,0.67,2,junction_floor
23268000181,EU,12100.0959,16366.1992,4266.1033,35.26,2,junction_floor
25260700313,EU,24087.0569,24148.2299,61.173,0.25,2,junction_floor
21105800041,EU,16781.6591,25812.1088,9030.4497,53.81,2,junction_floor
26144600071,EU,13487.2348,14257.2441,770.0093,5.71,2,junction_floor
28323500063,EU,351084.6976,359016.5838,7931.8862,2.26,2,junction_floor
21602600441,EU,10085.2403,16728.0889,6642.8485,65.87,2,junction_floor
28367100193,EU,68459.7305,70185.0915,1725.361,2.52,2,junction_floor
24324900013,EU,15294.9671,19011.1074,3716.1403,24.3,2,junction_floor
23261000681,EU,31081.6629,32919.6903,1838.0274,5.91,2,junction_floor
23261000095,EU,11764.725,14039.5156,2274.7906,19.34,2,junction_floor
29510200021,EU,238.9802,404.2038,165.2236,69.14,2,junction_floor
28322600031,EU,14561.4826,24133.5117,9572.0291,65.74,2,junction_floor
21602300261,EU,66905.183,133020.0,66114.817,98.82,2,junction_floor
23283000091,EU,94658.0391,188021.2812,93363.2422,98.63,2,junction_floor
22792000173,EU,10120.7879,19503.1595,9382.3716,92.7,2,junction_floor
26120900191,EU,1436.8176,2014.4509,577.6333,40.2,2,junction_floor
26130000065,EU,384412.4524,735815.8043,351403.3519,91.41,2,junction_floor
28440500151,EU,20236.0331,20468.746,232.713,1.15,2,junction_floor
23285000281,EU,48286.0687,96576.0687,48290.0,100.01,2,junction_floor
23267000091,EU,49104.0,96604.0,47500.0,96.73,2,junction_floor
28450200351,EU,7272.6897,7443.2852,170.5955,2.35,2,junction_floor
22780500401,EU,17292.3603,27224.6279,9932.2676,57.44,2,junction_floor
24244100071,EU,77024.4922,84142.4949,7118.0027,9.24,2,junction_floor
23301900025,EU,2323.8303,3505.6173,1181.787,50.86,2,junction_floor
26190700135,EU,13610.5811,24678.541,11067.96,81.32,2,junction_floor
24434000661,EU,2261.5829,3869.8408,1608.2579,71.11,2,junction_floor
26145000231,EU,335657.2097,403341.1973,67683.9876,20.16,2,junction_floor
26200101431,EU,594.1103,757.1292,163.0188,27.44,2,junction_floor
22517000011,EU,412505.3278,435202.9707,22697.6429,5.5,2,junction_floor
21307600091,EU,5254.5973,6564.1401,1309.5428,24.92,2,junction_floor
28440300111,EU,36747.1925,37557.6802,810.4877,2.21,2,junction_floor
21500600201,EU,20559.5938,21202.5554,642.9616,3.13,2,junction_floor
24420100016,EU,19786.1758,44228.4953,24442.3196,123.53,2,junction_floor
22519000121,EU,365267.3124,367959.492,2692.1796,0.74,2,junction_floor
22797000391,EU,76794.5407,126100.957,49306.4164,64.21,2,junction_floor
26143000061,EU,372307.8772,375967.2883,3659.4111,0.98,2,junction_floor
21602600024,EU,20673.4742,22499.592,1826.1178,8.83,2,junction_floor
23214300113,EU,31127.5631,31493.252,365.6889,1.17,2,junction_floor
22710800581,EU,7857.205,15256.7383,7399.5333,94.18,2,junction_floor
29477000101,EU,366833.8578,378937.3325,12103.4748,3.3,2,junction_floor
22739000041,EU,516311.3264,526461.5547,10150.2283,1.97,2,junction_floor
22320600013,EU,22125.2793,36653.25,14527.9707,65.66,2,junction_floor
28365000141,EU,153438.7653,305515.7653,152077.0,99.11,2,junction_floor
28367100013,EU,152465.4147,218572.4147,66107.0,43.36,2,junction_floor
25280200103,EU,1556.9578,2519.8981,962.9403,61.85,2,junction_floor
22511100041,EU,107398.8051,114284.5007,6885.6956,6.41,2,junction_floor
25280500013,EU,9236.0811,18455.1094,9219.0283,99.82,2,junction_floor
26120200011,EU,51208.0781,96183.1602,44975.082,87.83,2,junction_floor
28321000023,EU,672677.5413,1181284.625,508607.0837,75.61,2,junction_floor
23212000451,EU,2696.21,4682.9451,1986.7351,73.69,2,junction_floor
24229000153,EU,11182.3825,17007.8877,5825.5052,52.1,2,junction_floor
24460000073,EU,28548.3384,57041.4159,28493.0775,99.81,2,junction_floor
27106000171,EU,887.4325,1220.5029,333.0705,37.53,2,junction_floor
22792000581,EU,5561.6462,9862.5347,4300.8885,77.33,2,junction_floor
25109100105,EU,561.2037,1021.4493,460.2456,82.01,2,junction_floor
28281500061,EU,186965.5312,194408.3848,7442.8535,3.98,2,junction_floor
28330800023,EU,30944.4186,37014.8443,6070.4256,19.62,2,junction_floor
26183000171,EU,257337.7449,273758.8672,16421.1223,6.38,2,junction_floor
28340100061,EU,63858.2583,109311.4688,45453.2104,71.18,2,junction_floor
23240300154,EU,53107.5975,61452.1328,8344.5353,15.71,2,junction_floor
22202900194,EU,4371.0031,4421.2302,50.2271,1.15,2,junction_floor
27108000035,EU,5125.1109,9204.2599,4079.149,79.59,2,junction_floor
22710100045,EU,793051.75,820004.2672,26952.5172,3.4,2,junction_floor
24296400083,EU,42818.5,74981.0,32162.5,75.11,2,junction_floor
28311700011,EU,604451.4465,1758220.652,1153769.2055,190.88,2,junction_floor
24480800113,EU,8750.6412,9821.3604,1070.7192,12.24,2,junction_floor
25220000423,EU,11014.0,16719.0,5705.0,51.8,2,junction_floor
26200100021,EU,256.5514,333.2495,76.6981,29.9,2,junction_floor
24100100045,EU,969.5035,1528.1927,558.6892,57.63,2,junction_floor
24100700055,EU,26618.7341,29209.4395,2590.7054,9.73,2,junction_floor
22350200013,EU,97169.1007,257239.5994,160070.4987,164.73,2,junction_floor
29498000321,EU,7506.5842,11488.8032,3982.219,53.05,2,junction_floor
28367500034,EU,61834.0214,62115.4454,281.424,0.46,2,junction_floor
28367700061,EU,31694.6426,37933.647,6239.0044,19.68,2,junction_floor
29499700113,EU,16699.6236,31438.5664,14738.9428,88.26,2,junction_floor
22780500341,EU,17292.3603,30655.3017,13362.9414,77.28,2,junction_floor
21406901121,EU,1346.5629,2013.4784,666.9155,49.53,2,junction_floor
22397000011,EU,68123.848,103829.3463,35705.4983,52.41,2,junction_floor
22766000031,EU,11944.8246,13005.7207,1060.8961,8.88,2,junction_floor
25260400141,EU,4795.9286,6615.2256,1819.297,37.93,2,junction_floor
26189100031,EU,93593.8055,100396.069,6802.2635,7.27,2,junction_floor
28316100031,EU,37302.1432,44568.3047,7266.1615,19.48,2,junction_floor
25280400063,EU,8892.6132,17096.793,8204.1797,92.26,2,junction_floor
24370000761,EU,3350.1002,3734.0201,383.9199,11.46,2,junction_floor
21304000121,EU,16334.0681,20271.4883,3937.4202,24.11,2,junction_floor
26189700241,EU,29286.1285,30482.605,1196.4765,4.09,2,junction_floor
23270700061,EU,47856.3543,48492.2553,635.901,1.33,2,junction_floor
22190400041,EU,3599.0422,3703.1863,104.144,2.89,2,junction_floor
25102200081,EU,14413.9253,14713.1979,299.2726,2.08,2,junction_floor
22720700011,EU,23175.433,25060.8657,1885.4327,8.14,2,junction_floor
23222000831,EU,4677.6408,5692.5541,1014.9133,21.7,2,junction_floor
28329500061,EU,26714.3166,34011.9292,7297.6126,27.32,2,junction_floor
22202900111,EU,10993.6321,16460.9805,5467.3484,49.73,2,junction_floor
23250600791,EU,411.2703,1779.5108,1368.2405,332.69,2,junction_floor
23250600361,EU,1222.3383,5175.1561,3952.8178,323.38,2,junction_floor
25251400113,EU,2528.0386,8520.8102,5992.7716,237.05,2,junction_floor
28290600461,EU,4661.6731,8412.8753,3751.2022,80.47,2,junction_floor
28367100023,EU,152465.4147,153212.8245,747.4098,0.49,2,junction_floor
25220000153,EU,16307.2116,16368.5787,61.3671,0.38,2,junction_floor
26188200241,EU,5700.549,8302.1567,2601.6077,45.64,2,junction_floor
26189600141,EU,3711.6726,4556.4577,844.785,22.76,2,junction_floor
25280400153,EU,3319.1258,5652.8066,2333.6808,70.31,2,junction_floor
24380200523,EU,1191.9033,1348.5137,156.6104,13.14,2,junction_floor
22340900043,EU,334.1559,625.5715,291.4156,87.21,2,junction_floor
23281000251,EU,119245.123,195306.1562,76061.0333,63.79,2,junction_floor
22543000161,EU,101006.6536,110328.4551,9321.8015,9.23,2,junction_floor
28465000353,EU,61361.1211,72608.9941,11247.873,18.33,2,junction_floor
24434000993,EU,1370.9709,1908.004,537.0331,39.17,2,junction_floor
24450400323,EU,10831.2635,10891.3256,60.0621,0.55,2,junction_floor
27105500125,EU,122.2996,442.116,319.8164,261.5,2,junction_floor
27105900101,EU,541.6683,961.4371,419.7688,77.5,2,junction_floor
24460000055,EU,45090.0751,57103.3066,12013.2315,26.64,2,junction_floor
23228000111,EU,11615.8388,15772.9531,4157.1143,35.79,2,junction_floor
26182000151,EU,5049.4795,5644.1968,594.7173,11.78,2,junction_floor
28284300121,EU,22557.5164,25666.3322,3108.8158,13.78,2,junction_floor
24230000065,EU,121643.9297,123382.625,1738.6953,1.43,2,junction_floor
27105900041,EU,1757.3453,1891.6814,134.3361,7.64,2,junction_floor
24380300163,EU,3442.4521,3567.3383,124.8862,3.63,2,junction_floor
26189900031,EU,13944.2065,15554.1155,1609.9089,11.55,2,junction_floor
21602300231,EU,67873.2266,202674.6719,134801.4453,198.61,3,junction_floor
23283000121,EU,93676.625,116890.4023,23213.7773,24.78,2,junction_floor
21602100101,EU,95580.0,97634.019,2054.019,2.15,2,junction_floor
23285000361,EU,42587.1328,86320.2494,43733.1166,102.69,2,junction_floor
23267000401,EU,37605.0,75183.0,37578.0,99.93,2,junction_floor
23267000191,EU,44047.0,86765.0,42718.0,96.98,2,junction_floor
21602400181,EU,5691.6065,10505.6021,4813.9956,84.58,2,junction_floor
24324500163,EU,64371.9275,66978.9541,2607.0266,4.05,2,junction_floor
23250900045,EU,195712.2188,196245.4912,533.2724,0.27,2,junction_floor
23261000171,EU,159805.1157,319141.9531,159336.8374,99.71,2,junction_floor
28299000605,EU,964.8704,1174.4117,209.5413,21.72,2,junction_floor
23261000441,EU,139424.8125,275887.625,136462.8125,97.88,2,junction_floor
23261000471,EU,137959.2417,219471.9644,81512.7227,59.08,2,junction_floor
22204001903,EU,770.2764,964.9816,194.7051,25.28,2,junction_floor
26181000025,EU,318506.75,331894.0511,13387.3011,4.2,2,junction_floor
26181000095,EU,252152.1467,252612.1453,459.9986,0.18,2,junction_floor
22204000075,EU,5903.5679,9438.71,3535.1421,59.88,2,junction_floor
26183000071,EU,283353.667,316435.819,33082.152,11.68,2,junction_floor
28284400081,EU,9675.8566,10838.6025,1162.7459,12.02,2,junction_floor
24360000223,EU,18102.1039,18952.5906,850.4867,4.7,3,junction_floor
25280100083,EU,24666.647,27241.8066,2575.1596,10.44,2,junction_floor
28396000151,EU,9884.8122,11764.1709,1879.3587,19.01,2,junction_floor
25104000091,EU,15184.0,25118.0,9934.0,65.42,2,junction_floor
23224000094,EU,15149.6906,17208.4473,2058.7567,13.59,2,junction_floor
23214300051,EU,32827.4099,39008.0896,6180.6797,18.83,2,junction_floor
25102100291,EU,38328.7363,39813.457,1484.7207,3.87,2,junction_floor
22202700201,EU,16925.4987,26744.6328,9819.1341,58.01,2,junction_floor
22740800101,EU,5604.799,10879.5,5274.701,94.11,2,junction_floor
23400300021,EU,7366.3842,12791.9757,5425.5915,73.65,2,junction_floor
28469000061,EU,20135.5282,20651.7288,516.2005,2.56,2,junction_floor
23400400163,EU,5515.3859,7438.6082,1923.2223,34.87,2,junction_floor
24440500271,EU,14092.4568,16873.8066,2781.3498,19.74,2,junction_floor
26147000211,EU,105240.4028,121369.1406,16128.7378,15.33,2,junction_floor
24222300021,EU,45809.6632,46793.2458,983.5826,2.15,2,junction_floor
27103100615,EU,355.6205,357.1659,1.5454,0.43,2,junction_floor
22570000101,EU,56556.9647,70662.5619,14105.5971,24.94,2,junction_floor
